OUTCOME_CONCEPT_ID,REACTION_NAME
36516810,TEMPOROMANDIBULAR JOINT SYNDROME
35204927,BRADYARRHYTHMIA
36617321,MALIGNANT PLEURAL EFFUSION
37520685,LIMB OPERATION
35104746,LYMPHADENOPATHY
35205247,CARDIOPULMONARY FAILURE
37320214,RASH MACULAR
42889666,SPINAL COLUMN INJURY
36718338,NERVOUS SYSTEM DISORDER
35809151,NIGHT SWEATS
36316089,CHEST X-RAY ABNORMAL
35204975,SUDDEN CARDIAC DEATH
36211114,SKULL FRACTURE
35506690,INAPPROPRIATE ANTIDIURETIC HORMONE SECRETION
36718269,EXTENSOR PLANTAR RESPONSE
35205319,DILATATION VENTRICULAR
37219932,RESPIRATION ABNORMAL
37119696,UTERINE PROLAPSE
35909542,LIVER ABSCESS
35708754,TONGUE DRY
35204989,Cardiac disorder
35406391,Tinnitus
35708293,Gastrointestinal perforation
36009898,Lung transplant rejection
36110535,Abscess limb
37622521,Hypertensive crisis
36718259,Parkinsonism
42889013,Cardiac septal hypertrophy
36211629,Arachnoiditis
42889623,Pubis fracture
35707682,GINGIVAL RECESSION
36314156,BLOOD GLUCOSE ABNORMAL
35707677,GINGIVAL ERYTHEMA
36516818,Joint swelling
37119602,Scrotal swelling
35809399,Hyperplasia
36315645,Blood urine present
35909492,Hepatic lesion
36211185,Pulmonary toxicity
37521159,DIALYSIS
36316167,Cardioactive drug level increased
42890056,Helicobacter test positive
36211104,Patella fracture
36516973,MUSCULOSKELETAL STIFFNESS
36316031,ASPIRATION PLEURAL CAVITY
36314855,BONE DENSITY ABNORMAL
36110977,POLYOMAVIRUS-ASSOCIATED NEPHROPATHY
35708038,COLITIS
36818632,ABORTION MISSED
35707653,TOOTH INJURY
36009703,BRONCHOSPASM
35707684,GINGIVITIS
35204935,FOETAL HEART RATE DECELERATION
36110378,MENINGITIS FUNGAL
36818682,PREMATURE LABOUR
37420519,DISABILITY
36110253,PHARYNGITIS STREPTOCOCCAL
36211179,NEPHROPATHY TOXIC
35808962,INJECTION SITE ANAESTHESIA
35104074,Anaemia
37420529,Impaired driving ability
36718280,Balance disorder
35809130,Flushing
36919231,Intentional self-injury
36110151,Pneumonia klebsiella
36110764,Bovine tuberculosis
37320217,Rash morbilliform
36918952,Feeling of despair
37080784,Acute kidney injury
36211103,LOWER LIMB FRACTURE
36718364,NEUROLOGICAL SYMPTOM
36516828,PSORIATIC ARTHROPATHY
35909409,BILIARY COLIC
36110768,EXTRAPULMONARY TUBERCULOSIS
36110520,PELVIC INFLAMMATORY DISEASE
35607075,IRITIS
35708048,PYODERMA GANGRENOSUM
37119708,ENDOMETRIAL DISORDER
36516816,Joint range of motion decreased
36315299,Grip strength decreased
36110585,Bronchopneumonia
36516972,Musculoskeletal disorder
36211306,Multiple injuries
36919045,Emotional disorder
37219867,Pulmonary arterial hypertension
36416609,Shock haemorrhagic
35809022,Injection site urticaria
36718233,Monoparesis
36313403,Monocyte count increased
37521103,Ileostomy
43562983,Therapy change
35809336,Idiosyncratic drug reaction
37520809,Parathyroidectomy
42889555,Infection reactivation
35707835,Intestinal villi atrophy
36211100,Fibula fracture
35809211,Mucosal ulceration
36919091,Borderline personality disorder
37119701,Adnexa uteri pain
36718062,Superior sagittal sinus thrombosis
37220061,Tonsillar hypertrophy
36718419,Dyslalia
37019334,Kidney small
37522373,Vena cava filter insertion
37320133,Skin tightness
36718027,Thalamic infarction
36718431,Repetitive speech
36516927,Lumbar spinal stenosis
42889118,Cystoid macular oedema
36313130,Blast cell count increased
35708357,Gastric varices
35305401,Pulmonary artery stenosis congenital
35909454,Gallbladder enlargement
35809102,Cerebellar ataxia
36110475,Mastitis
42889401,Device component issue
37420381,Living in residential institution
36211206,Arterial injury
36211135,Ulna fracture
36313449,Neutrophil percentage increased
36718231,Locked-in syndrome
35809120,DISEASE PROGRESSION
36312076,BLOOD PRESSURE IMMEASURABLE
36311932,ELECTROCARDIOGRAM ST-T CHANGE
36211689,PROCEDURAL COMPLICATION
36718482,RADIAL NERVE PALSY
37521235,ORAL SURGERY
35708184,OESOPHAGEAL DISCOMFORT
36312698,COLONOSCOPY
36516903,INTERVERTEBRAL DISC COMPRESSION
37521192,ENDODONTIC PROCEDURE
36617535,HAEMORRHAGIC OVARIAN CYST
35708741,TONGUE HAEMORRHAGE
36313485,BIOPSY LIVER
35809354,THERAPEUTIC RESPONSE DELAYED
36311846,RIGHT VENTRICULAR SYSTOLIC PRESSURE INCREASED
35809173,YELLOW SKIN
36110260,SCARLET FEVER
36211133,RADIUS FRACTURE
35305401,PULMONARY ARTERY STENOSIS CONGENITAL
37119518,UTERINE CERVIX STENOSIS
36211309,POST CONCUSSION SYNDROME
36314500,CATHETER CULTURE POSITIVE
35809316,Radiation interaction
37520608,INTRAMEDULLARY ROD INSERTION
42889261,Carbohydrate intolerance
36718487,ULNAR NERVE PALSY
37320192,PHOTODERMATOSIS
42889623,PUBIS FRACTURE
36009700,Asthma
35707792,Anal fistula
36919194,LIBIDO DECREASED
36516866,Hypotonia neonatal
35205241,Cardiac failure acute
43053798,Application site bruise
36718598,Spinal cord compression
35809330,Drug resistance
36009713,Multiple allergies
36009843,Dermatomyositis
37119648,Ejaculation failure
35205144,Anomalous pulmonary venous connection
37520638,Bunion operation
36918924,Distractibility
36312698,Colonoscopy
35607307,Pupil fixed
35104849,Acute febrile neutrophilic dermatosis
37521313,Sinus operation
35809357,Therapeutic response unexpected
42889911,Double stranded DNA antibody positive
36312930,Anti factor VIII antibody positive
35808935,Infusion site irritation
36516859,Cataplexy
35808956,Infusion site vesicles
42890574,Burning feet syndrome
36211384,Blood blister
