DRUG_ID,REACTION_1,REACTION_2,N11,N10,N01,N00,odds_ratio,p_adj,significant
722424,35809005,35809022,22,2319,52,50835,9.274305901084684,3.105933221145498e-12,True
722424,35809005,36718207,7,2334,47,50840,3.2441794745574213,0.011990933587939942,True
722424,35809005,36516837,66,2275,483,50404,3.0274738925670603,1.352473944984222e-12,True
722424,35809005,36718199,13,2328,120,50767,2.3624391466208476,0.007976618685081524,True
722424,35809005,36516957,26,2315,143,50744,3.985391714117416,8.613301673480847e-08,True
722424,35809005,36211548,15,2326,35,50852,9.369610612946813,7.979243023353834e-09,True
722424,35809005,36919045,12,2329,123,50764,2.1264857732304243,0.020546329667734006,True
722424,35809005,36416539,5,2336,20,50867,5.443814212328767,0.005727278145136865,True
722424,35809005,36110555,7,2334,60,50827,2.5406241073978864,0.03384592721800475,True
722424,35809005,35809021,6,2335,25,50862,5.227785867237688,0.002948204018010646,True
722424,35809005,35809024,6,2335,27,50860,4.840352129431358,0.004030369884752225,True
722424,35809005,37320158,26,2315,310,50577,1.8323723263429248,0.0056636149099955815,True
722424,35809005,36718376,13,2328,80,50807,3.5464508161512027,0.00035892183090848666,True
722424,35809005,36211460,45,2296,126,50761,7.8958748133399705,1.826816529140659e-21,True
722424,35809005,36718401,14,2327,143,50744,2.134913646731438,0.012663465314748754,True
722424,35809005,37019416,5,2336,37,50850,2.9416188448722695,0.04370643099511898,True
722424,35809005,36211211,9,2332,34,50853,5.772336293007769,0.00015462250689693638,True
722424,35809005,36718395,108,2233,1683,49204,1.4140062408548486,0.000993377343646256,True
722424,35809005,36718141,37,2304,553,50334,1.4616909659433395,0.02571529884297069,True
722424,35809005,36211273,14,2327,67,50820,4.563431232321419,2.2401552438989185e-05,True
722424,35809005,36516876,77,2264,1296,49591,1.301404089233521,0.023156576317214718,True
722424,35809005,36516738,7,2334,43,50844,3.5462426017815507,0.008071850156855064,True
722424,35809005,37320114,6,2335,39,50848,3.350222368637786,0.01724544879182454,True
722424,35809005,37219959,12,2329,133,50754,1.9662122244210785,0.03288215282726333,True
722424,35809005,36516824,13,2328,145,50742,1.9541592605758977,0.028163538898979545,True
722424,35809005,36211285,7,2334,43,50844,3.5462426017815507,0.008071850156855064,True
722424,35809005,36516840,20,2321,97,50790,4.511919409070921,5.053323751628874e-07,True
722424,35809005,35809025,46,2295,47,50840,21.681175543503453,1.1548528350052566e-35,True
722424,35809005,36315381,31,2310,374,50513,1.812513600481515,0.0031467188330876533,True
722424,35809005,36312077,24,2317,247,50640,2.123645157513817,0.0014868374244729574,True
722424,35809005,43562825,10,2331,18,50869,12.12379045712379,4.484384712357727e-07,True
722424,35809005,37019273,5,2336,29,50858,3.7536903637222485,0.01996859735904135,True
722424,35809005,36918942,85,2256,1350,49537,1.3825338192802732,0.00509257214198428,True
722424,35809005,36211459,6,2335,42,50845,3.110737228510248,0.02285217954768546,True
722424,35809005,36315380,67,2274,631,50256,2.3466207259909093,9.64306697999094e-09,True
722424,35809005,36009833,10,2331,98,50789,2.2233166110717133,0.025932884847975405,True
722424,35809005,36718338,8,2333,68,50819,2.5626686165250496,0.023158533197563048,True
722424,35809005,35809382,7,2334,53,50834,2.876574348029943,0.02016934862749034,True
722424,35809005,35809011,59,2282,153,50734,8.573221517645914,2.9579454873665085e-29,True
722424,35809005,37622518,40,2301,330,50557,2.6632425954459853,5.188307058629964e-07,True
722424,35809005,36416551,10,2331,106,50781,2.0551953570821495,0.03908819956682456,True
722424,35809005,35809014,89,2252,432,50455,4.615747935991053,9.907063503378345e-27,True
722424,35809005,36516972,37,2304,546,50341,1.4806364786833537,0.02205431575107097,True
722424,35809005,35809082,92,2249,1050,49837,1.9416053695822482,7.347157949665687e-08,True
722424,35809005,35809019,112,2229,152,50735,16.771504805081346,1.9495847967608235e-77,True
722424,35809005,36516812,53,2288,733,50154,1.5849714746372319,0.0022862028663434707,True
722424,35809005,36516848,75,2266,952,49935,1.7360789196525919,3.0734393887232314e-05,True
722424,35809005,37320109,9,2332,65,50822,3.0175352948937855,0.006925687588908708,True
722424,35809005,36718353,19,2322,192,50695,2.16050504234855,0.0037010474872424186,True
722424,35809005,43562826,39,2302,175,50712,4.909440238302097,3.1178370675560337e-13,True
