reaction_id,cluster_id,cluster_size
37219894,978,1
35809327,979,1
36211478,980,1
35708178,981,1
37622439,982,1
37220025,983,1
37320141,984,1
35708314,985,1
37019292,986,1
36313594,987,1
36617485,988,1
36919149,989,1
36211374,990,1
35707798,991,1
36311982,992,1
35205259,993,1
37219831,994,1
35205044,995,1
36110015,996,1
35506457,997,1
35205095,998,1
36316366,999,1
36718578,1000,1
37420507,1001,1
36919102,1002,1
36416496,1003,1
36718611,1004,1
36009762,1005,1
35708322,1006,1
37219916,1007,1
36211101,1008,1
36919109,1009,1
36918984,1010,1
35707675,1011,1
36110386,1012,1
36314116,1013,1
37420517,1014,1
36568681,1015,1
35205172,1016,1
37119783,1017,1
37622491,1018,1
36617224,1019,1
36313032,1020,1
36516784,1021,1
36110684,1022,1
36314114,1023,1
35909594,1024,1
37019320,1025,1
35809369,1026,1
37220034,1027,1
35606961,1028,1
36516818,1029,1
35205181,1030,1
37219885,1031,1
37520731,1032,1
35708115,1033,1
35708642,1034,1
37219889,1035,1
36919128,1036,1
36316381,1037,1
36918908,1038,1
35809189,1039,1
35205040,1040,1
37219871,1041,1
35909682,1042,1
35708106,1043,1
37320212,1044,1
35809237,1045,1
35809225,1046,1
36110234,1047,1
36009880,1048,1
37219872,1049,1
35607320,1050,1
37219859,1051,1
35205388,1052,1
35205230,1053,1
36316023,1054,1
36717961,1055,1
37622432,1056,1
35708100,1057,1
36617297,1058,1
36110722,1059,1
36211109,1060,1
36312102,1061,1
36718355,1062,1
37622480,1063,1
37219954,1064,1
37119494,1065,1
35809215,1066,1
35406412,1067,1
36516933,1068,1
36009703,1069,1
35809173,1070,1
37320143,1071,1
37119501,1072,1
36516950,1073,1
36718586,1074,1
42890649,1075,1
36516816,1076,1
36718591,1077,1
36617167,1078,1
36718005,1079,1
36516973,1080,1
43562714,1081,1
36517146,1082,1
42890822,1083,1
36718326,1084,1
37119745,1085,1
37019319,1086,1
36718229,1087,1
36718001,1088,1
42890499,1089,1
37320205,1090,1
36919033,1091,1
37320296,1092,1
37420588,1093,1
36617308,1094,1
37320214,1095,1
36718108,1096,1
36617162,1097,1
36211390,1098,1
36718111,1099,1
36516888,1100,1
36617702,1101,1
36617419,1102,1
36416609,1103,1
36416518,1104,1
37320326,1105,1
36313050,1106,1
37219842,1107,1
36312921,1108,1
36718157,1109,1
36718589,1110,1
36315645,1111,1
36312538,1112,1
36211496,1113,1
36312941,1114,1
36718024,1115,1
36313524,1116,1
43053848,1117,1
37219930,1118,1
36009857,1119,1
43053888,1120,1
36718563,1121,1
36718288,1122,1
36211464,1123,1
36110649,1124,1
36416590,1125,1
35909503,1126,1
36110651,1127,1
35809148,1128,1
36110766,1129,1
36009951,1130,1
36313534,1131,1
35809098,1132,1
37019453,1133,1
36718082,1134,1
35809170,1135,1
36313605,1136,1
35909624,1137,1
35809086,1138,1
35909527,1139,1
36718406,1140,1
36110777,1141,1
36718382,1142,1
42889379,1143,1
37622521,1144,1
37420551,1145,1
36718285,1146,1
36919054,1147,1
37019399,1148,1
37219960,1149,1
37622442,1150,1
42889647,1151,1
36718312,1152,1
36416568,1153,1
36919098,1154,1
37019295,1155,1
36919059,1156,1
42889801,1157,1
37320310,1158,1
37019358,1159,1
36617489,1160,1
36718320,1161,1
36718214,1162,1
36918875,1163,1
37520608,1164,1
37520628,1165,1
37320193,1166,1
36516867,1167,1
36516979,1168,1
37320323,1169,1
36516948,1170,1
36718359,1171,1
37521342,1172,1
36919207,1173,1
36516842,1174,1
37320257,1175,1
36718421,1176,1
37622435,1177,1
36919075,1178,1
42890353,1179,1
36110013,1180,1
37521018,1181,1
35809407,1182,1
35708278,1183,1
35809314,1184,1
35809130,1185,1
35909528,1186,1
36516894,1187,1
35708227,1188,1
36110719,1189,1
42889558,1190,1
36110548,1191,1
35708362,1192,1
35809087,1193,1
36110408,1194,1
35809091,1195,1
35909501,1196,1
37219814,1197,1
35708256,1198,1
37521103,1199,1
36110915,1200,1
42890633,1201,1
35708248,1202,1
35708675,1203,1
35708298,1204,1
36315620,1205,1
35809109,1206,1
36416617,1207,1
36315643,1208,1
36314183,1209,1
36110491,1210,1
35809171,1211,1
36312473,1212,1
35708243,1213,1
35708221,1214,1
35809310,1215,1
43562912,1216,1
36009720,1217,1
36312336,1218,1
36312485,1219,1
36312488,1220,1
36313993,1221,1
36312492,1222,1
36312482,1223,1
37320220,1224,1
37320124,1225,1
36517108,1226,1
36919037,1227,1
37320123,1228,1
37320131,1229,1
36718267,1230,1
37320093,1231,1
36516886,1232,1
37320133,1233,1
36718079,1234,1
37320126,1235,1
36718112,1236,1
36718230,1237,1
36718335,1238,1
42890387,1239,1
35205025,1240,1
36009873,1241,1
35406421,1242,1
35205036,1243,1
35406306,1244,1
36718315,1245,1
37119548,1246,1
35205034,1247,1
35205037,1248,1
35808980,1249,1
37219878,1250,1
35707759,1251,1
36313903,1252,1
35607441,1253,1
35607122,1254,1
36211215,1255,1
36718375,1256,1
36311981,1257,1
36718142,1258,1
36314156,1259,1
35808988,1260,1
35808999,1261,1
36416547,1262,1
36718369,1263,1
35708753,1264,1
36313437,1265,1
36211097,1266,1
36110709,1267,1
35104074,1268,1
36110460,1269,1
35204989,1270,1
35104691,1271,1
35104856,1272,1
36516896,1273,1
35204948,1274,1
36313585,1275,1
36313968,1276,1
35104868,1277,1
35104746,1278,1
35809132,1279,1
37019308,1280,1
36516841,1281,1
36718510,1282,1
36516868,1283,1
37521035,1284,1
35809080,1285,1
37520641,1286,1
36776613,1287,1
